song_id,artist_id,artist_name,album_id,album_name,ContentLanguage,IsExplicit,ReleaseDate,isrc,song_name,label,owner,albumArtist,Genre_,year,month,day,song_age,is_duplicate_of_title
193618409,2905217,mahmoud el esseily,193618408,ra2sa slow,ara,FALSE,2/15/2022,99396134,ra2sa slow,ripple technologies llc,ripple technologies llc,mahmoud el esseily,pop,2022,2,15,3,FALSE
171349586,4059438,ahmed figo,171349585,الوش بيضحك,ara,FALSE,2/14/2022,QM4TW2273620,الوش بيضحك,sharqi production,orchard,ahmed figo,world,2022,2,14,3,FALSE
171180173,51006,nancy ajram,171180159,café arabia volume 2,ara,FALSE,2/14/2022,AEAB20400168,inta eyh,ume - global clearing house,universal,various artists,world,2022,2,14,3,TRUE
171180177,686036,marwan khoury,171180159,café arabia volume 2,ara,FALSE,2/14/2022,AEUM71500208,khayal el omer,ume - global clearing house,universal,various artists,world,2022,2,14,3,FALSE
193622579,2304785,lamis kan,193622578,ehsasy mat,ara,FALSE,2/14/2022,EGA252201503,ehsasy mat,takwene,takwene,lamis kan,pop,2022,2,14,3,FALSE
171180181,51006,nancy ajram,171180159,café arabia volume 2,ara,FALSE,2/14/2022,AEAB20200415,yay,ume - global clearing house,universal,various artists,world,2022,2,14,3,TRUE
171180182,58150,ragheb alama,171180159,café arabia volume 2,ara,FALSE,2/14/2022,AEA040900377,moghram ya lail,ume - global clearing house,universal,various artists,world,2022,2,14,3,TRUE
192460930,2700,ahmed saad,192460927,aleky eyoun,ara,FALSE,2/13/2022,EGA010551937,aleky eyoun,mazzika,mazzika,ahmed saad,romantic,2022,2,13,3,FALSE
265478738,4007408,ahmed santa,265478737,oghnya oldschool gdeda,ara,TRUE,2/13/2022,QZ4UU2001312,oghnya oldschool gdeda,wks ltd,wks ltd,ahmed santa,hip hop/rap,2022,2,13,3,FALSE
204398283,5894873,bailey zimmerman,204398277,religiously. the album.,eng,FALSE,2/11/2022,USWB12200122,fall in love,warner music nashville/elektra,warner,bailey zimmerman,country,2022,2,11,3,FALSE
171141671,3756658,ahmed abdo,171141670,الندل زى الخاين,ara,FALSE,2/9/2022,QM4TW2266653,الندل زى الخاين [feat. yousef jo],sharqi production,orchard,ahmed abdo,world,2022,2,9,3,FALSE
187256552,4437477,ahmed moza,187256551,كل الشكر,ara,FALSE,2/9/2022,EGA252201364,كل الشكر,like studio,orchard,ahmed moza,world,2022,2,9,3,FALSE
265479011,2905217,mahmoud el esseily,265479008,ra2sa slow,ara,FALSE,2/8/2022,EGWKS2212901,ra2sa slow,wks ltd,wks ltd,mahmoud el esseily,pop,2022,2,8,3,TRUE
193543836,166846,latifa,193543834,helm,ara,FALSE,2/7/2022,LBA082200054,helm,arpu plus,arpu plus,latifa,lebanese pop,2022,2,7,3,FALSE
171008971,4732497,احمد عبده‬,171008970,مهرجان قلبي عندك,ara,FALSE,2/7/2022,QM4TW2263010,مهرجان قلبي عندك,sharqi production,orchard,احمد عبده‬,world,2022,2,7,3,FALSE
170795445,6193310,"dr. dre, eminem",170795444,gospel,eng,TRUE,2/4/2022,USUM72123988,gospel,aftermath/interscope records,universal,"dr. dre, eminem",hip hop/rap,2022,2,4,3,FALSE
170594204,202213,maxence cyrin,170594200,melancholy island,ara,FALSE,2/4/2022,GBAYC2101896,rivages,warner classics,warner,maxence cyrin,classical,2022,2,4,3,FALSE
170594205,202213,maxence cyrin,170594200,melancholy island,ara,FALSE,2/4/2022,GBAYC2101897,antica,warner classics,warner,maxence cyrin,classical,2022,2,4,3,FALSE
192404962,7174135,nour el nabawy and attar,192404961,khatwa egbari,ara,FALSE,2/4/2022,EGA0S1924571,khatwa egbari,i-media,imedia,nour el nabawy and attar,pop,2022,2,4,3,FALSE
193553468,745381,tamer ashour,193553467,tamally,ara,FALSE,1/31/2022,LBA082200053,tamally,arpu plus,arpu plus,tamer ashour,lebanese pop,2022,1,31,3,FALSE
192407973,4324050,telecom egypt,192407972,akwa mix men we,ara,FALSE,1/31/2022,QZFZ72217615,akwa mix men we,takwene,takwene,telecom egypt,hip hop/rap,2022,1,31,3,FALSE
170001881,6160274,encanto karaoke,170001868,disney karaoke series: encanto,eng,FALSE,1/28/2022,USWD12113487,what else can i do? (vocal),walt disney records,universal,encanto karaoke,soundtrack,2022,1,28,3,FALSE
170001878,6160274,encanto karaoke,170001868,disney karaoke series: encanto,eng,FALSE,1/28/2022,USWD12113484,waiting on a miracle (vocal),walt disney records,universal,encanto karaoke,soundtrack,2022,1,28,3,FALSE
192460955,5548885,ameen khattab,192460954,mahragan ana basheak w mesadaak,ara,FALSE,1/28/2022,EGA010551326,mahragan ana basheak w mesadaak,mazzika,mazzika,ameen khattab,"mena, world",2022,1,28,3,FALSE
170001879,6160274,encanto karaoke,170001868,disney karaoke series: encanto,eng,FALSE,1/28/2022,USWD12113485,surface pressure (vocal),walt disney records,universal,encanto karaoke,soundtrack,2022,1,28,3,FALSE
170024450,51855,nicky jam,170024449,ojos rojos,spa,TRUE,1/27/2022,USSD12100960,ojos rojos,sony music latin,sony,nicky jam,"latin, reggae, south america",2022,1,27,3,FALSE
170018091,2700,ahmed saad,170018090,sayrena ya donia,ara,FALSE,1/26/2022,AEA102100067,sayrena ya donia,sony music entertainment,sony,ahmed saad,"mena, pop, world, party",2022,1,26,3,FALSE
192462600,2750768,naaoum,192462599,tamaseh elnel,ara,FALSE,1/25/2022,EGA010551871,tamaseh elnel,mazzika,mazzika,naaoum,"mena, world",2022,1,25,3,FALSE
170052976,4128448,ragab stereo,170052975,مهرجان ليبيا فوق,ara,FALSE,1/24/2022,QM4TW2239144,مهرجان ليبيا فوق [feat. kimo el fergany],sharqi production,orchard,ragab stereo,world,2022,1,24,3,FALSE
169962771,706304,haytham shaker,169962770,ye'zeek,ara,FALSE,1/24/2022,QM4TW2234682,ye'zeek,sharqi production,orchard,haytham shaker,world,2022,1,24,3,FALSE
170052664,4128448,ragab stereo,170052663,مهرجان النار كلتنى,ara,FALSE,1/24/2022,QM4TW2239028,مهرجان النار كلتنى [feat. kimo el fergany],sharqi production,orchard,ragab stereo,world,2022,1,24,3,FALSE
170050675,4128448,ragab stereo,170050674,مهرجان يا جميلة,ara,FALSE,1/24/2022,QM4TW2239145,مهرجان يا جميلة [feat. kimo el fergany],sharqi production,orchard,ragab stereo,world,2022,1,24,3,FALSE
169962737,1995730,el dakhlaweya,169962736,مهرجان الرجولة والشهامة,ara,FALSE,1/23/2022,QM4TW2238258,مهرجان الرجولة والشهامة,sharqi production,orchard,el dakhlaweya,world,2022,1,23,3,FALSE
169962684,4059438,ahmed figo,169962683,وعدتك,ara,FALSE,1/23/2022,QM4TW2238202,وعدتك,sharqi production,orchard,ahmed figo,world,2022,1,23,3,FALSE
169962735,4128448,ragab stereo,169962734,مهرجان عطينا دروس,ara,FALSE,1/23/2022,QM4TW2238284,مهرجان عطينا دروس [feat. kimo el fergany],sharqi production,orchard,ragab stereo,world,2022,1,23,3,FALSE
169269660,143935,wael jassar,169269659,3ian,ara,FALSE,1/21/2022,AEA102200001,3ian,sony music entertainment,sony,wael jassar,genre not found,2022,1,21,3,FALSE
